Date,Open,High,Low,Close,Adj Close,Volume
2020-10-08,274000.000000,274000.000000,274000.000000,274000.000000,274000.000000,0
2020-10-09,273500.000000,273500.000000,273500.000000,273500.000000,273500.000000,0
2020-10-12,275500.000000,275500.000000,275500.000000,275500.000000,275500.000000,0
2020-10-13,273500.000000,273500.000000,273500.000000,273500.000000,273500.000000,0
2020-10-14,270500.000000,270500.000000,270500.000000,270500.000000,270500.000000,0
2020-10-15,270500.000000,270500.000000,270500.000000,270500.000000,270500.000000,0
2020-10-16,273000.000000,273000.000000,273000.000000,273000.000000,273000.000000,0
2020-10-19,273000.000000,273000.000000,268000.000000,268000.000000,268000.000000,0
2020-10-20,267000.000000,267000.000000,266500.000000,266500.000000,266500.000000,0
2020-10-21,266000.000000,266000.000000,266000.000000,266000.000000,266000.000000,0
2020-10-22,267500.000000,267500.000000,267500.000000,267500.000000,267500.000000,0
2020-10-23,269500.000000,269500.000000,269500.000000,269500.000000,269500.000000,0
2020-10-27,264000.000000,264000.000000,264000.000000,264000.000000,264000.000000,0
2020-10-28,258000.000000,258000.000000,258000.000000,258000.000000,258000.000000,0
2020-10-29,259000.000000,259000.000000,259000.000000,259000.000000,259000.000000,0
2020-10-30,259500.000000,259500.000000,259500.000000,259500.000000,259500.000000,0
2020-11-02,265000.000000,265000.000000,265000.000000,265000.000000,265000.000000,0
2020-11-03,267500.000000,267500.000000,267500.000000,267500.000000,267500.000000,0
2020-11-04,267000.000000,267000.000000,267000.000000,267000.000000,267000.000000,0
2020-11-05,266000.000000,266000.000000,266000.000000,266000.000000,266000.000000,0
2020-11-06,264000.000000,264000.000000,264000.000000,264000.000000,264000.000000,0
2020-11-09,264000.000000,264000.000000,264000.000000,264000.000000,264000.000000,0
2020-11-10,285000.000000,285000.000000,285000.000000,285000.000000,285000.000000,0
2020-11-11,292000.000000,292000.000000,292000.000000,292000.000000,292000.000000,0
2020-11-12,285500.000000,285500.000000,285500.000000,285500.000000,285500.000000,0
2020-11-13,287000.000000,287000.000000,287000.000000,287000.000000,287000.000000,0
2020-11-16,295000.000000,295000.000000,295000.000000,295000.000000,295000.000000,0
2020-11-17,296000.000000,296000.000000,296000.000000,296000.000000,296000.000000,0
2020-11-18,295500.000000,295500.000000,295500.000000,295500.000000,295500.000000,0
2020-11-19,290500.000000,290500.000000,290500.000000,290500.000000,290500.000000,0
2020-11-20,289000.000000,289000.000000,289000.000000,289000.000000,289000.000000,0
2020-11-23,290500.000000,290500.000000,290500.000000,290500.000000,290500.000000,0
2020-11-24,296000.000000,296000.000000,296000.000000,296000.000000,296000.000000,0
2020-11-25,294000.000000,294000.000000,294000.000000,294000.000000,294000.000000,0
2020-11-26,294500.000000,294500.000000,294500.000000,294500.000000,294500.000000,0
2020-11-27,291500.000000,291500.000000,291500.000000,291500.000000,291500.000000,0
2020-11-30,288500.000000,288500.000000,288500.000000,288500.000000,288500.000000,0
2020-12-01,288500.000000,288500.000000,288500.000000,288500.000000,288500.000000,0
2020-12-02,285000.000000,285000.000000,285000.000000,285000.000000,285000.000000,0
2020-12-03,284000.000000,284000.000000,284000.000000,284000.000000,284000.000000,0
2020-12-04,286500.000000,286500.000000,286500.000000,286500.000000,286500.000000,0
